Date,Draw,Numbers,Bonus
2022-02-04,1273,"2,10,11,23,24",11
2022-02-01,1272,"31,33,37,40,43",1
2022-01-28,1271,"1,12,21,26,48",18
2022-01-25,1270,"3,11,29,32,36",8
2022-01-21,1269,"10,14,19,34,37",12
2022-01-18,1268,"9,36,44,45,46",16
2022-01-14,1267,"12,22,26,29,49",20
2022-01-11,1266,"20,23,27,38,45",17
2022-01-07,1265,"10,12,37,42,43",2
2022-01-04,1264,"3,19,38,45,46",19
2021-12-31,1263,"27,30,33,38,49",5
2021-12-28,1262,"2,13,16,49,50",18
2021-12-24,1261,"6,10,11,29,41",16
2021-12-21,1260,"13,35,46,47,50",5
2021-12-17,1259,"19,28,34,38,48",4
2021-12-14,1258,"5,19,30,37,43",16
2021-12-10,1257,"23,24,27,48,49",3
2021-12-07,1256,"4,7,17,19,23",14
2021-12-03,1255,"9,19,20,30,31",10
2021-11-30,1254,"2,17,22,31,35",4
2021-11-26,1253,"5,7,11,19,38",14
2021-11-23,1252,"3,18,21,24,28",1
2021-11-19,1251,"4,16,39,40,50",9
2021-11-16,1250,"8,9,36,42,50",4
2021-11-12,1249,"2,24,27,41,49",17
2021-11-09,1248,"13,15,32,43,44",3
2021-11-05,1247,"9,15,38,40,42",2
2021-11-02,1246,"11,24,25,26,38",20
2021-10-29,1245,"29,42,45,47,49",8
2021-10-26,1244,"8,15,19,27,49",4
2021-10-22,1243,"3,8,17,40,47",13
2021-10-19,1242,"15,19,21,24,41",2
2021-10-15,1241,"15,30,44,45,48",15
2021-10-12,1240,"23,30,32,36,39",12
2021-10-08,1239,"4,14,18,24,38",9
2021-10-05,1238,"2,13,20,42,47",3
2021-10-01,1237,"24,25,38,40,49",2
2021-09-28,1236,"13,15,20,28,29",15
2021-09-24,1235,"14,17,24,31,43",15
2021-09-21,1234,"18,26,41,44,47",4
2021-09-17,1233,"8,10,17,26,39",14
2021-09-14,1232,"16,18,23,31,35",10
2021-09-10,1231,"8,12,17,28,43",13
2021-09-07,1230,"2,11,13,19,40",2
2021-09-03,1229,"2,9,18,42,43",8
2021-08-31,1228,"9,10,35,42,48",20
2021-08-27,1227,"6,10,11,45,47",13
2021-08-24,1226,"21,23,34,35,41",9
2021-08-20,1225,"6,21,33,37,50",18
2021-08-17,1224,"10,18,23,30,48",1
2021-08-13,1223,"5,23,41,42,50",2
2021-08-10,1222,"1,4,12,13,33",6
2021-08-06,1221,"7,13,18,20,25",6
2021-08-03,1220,"8,16,18,30,34",4
2021-07-30,1219,"4,12,27,35,50",1
2021-07-27,1218,"5,12,15,28,29",14
2021-07-23,1217,"21,45,47,48,49",18
2021-07-20,1216,"7,32,33,40,42",6
